"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"36F3",3.50000000029982,53.75000000015,-37.8926736111111,37.8926736111111,27,64,37,0,90,0,-34,100,28800,28800,28800,3.75000000014995,FALSE,FALSE
"36F4",4.50000000009999,53.75000000015,-35.3600694444444,35.3600694444444,20,44,24,90,180,0.000119774823332136,-38,100,28800,28800,28800,3.75000000014995,FALSE,FALSE
"36F5",5.49999999990013,53.75000000015,-27.9003819444444,27.9003819444444,4,39,35,90,180,0.000598874116660678,-28,100,28800,28800,28800,3.75000000014995,FALSE,FALSE
"36F6",6.49999999970026,53.75000000015,-17.8430555555556,17.8430555555556,-17,33,50,235.923043081021,325.923043081021,0.000723028400425233,-19,99.86520834938,28800,25966,25931,3.50000000029974,FALSE,FALSE
"36F7",7.49999999995009,53.75000000015,-8.67458333333333,8.67458333333333,-24,35,59,358.007888584014,88.0078885840145,0.00344557773223364,1,95.5378693978733,28800,15329,14645,2.50000000004991,FALSE,FALSE
"37E9",-0.499999999800082,54.25000000005,59.535625,-59.535625,-426,61,487,310.140086169878,40.1400861698777,0.0321187498997431,49,99.2190628754506,28800,9988,9910,4.25000000005002,FALSE,FALSE
"37F0",0.500000000000057,54.25000000005,-53.3466666666667,53.3466666666667,22,73,51,243.940084757288,333.940084757288,0.000933308432342048,-60,100,28800,28800,28800,4.25000000005002,FALSE,FALSE
"37F1",1.4999999998002,54.25000000005,-47.4824652777778,47.4824652777778,11,93,82,49.4431373705876,139.443137370588,0.0040988484400219,-49,96.6354166666667,28800,28800,27831,4.25000000005002,FALSE,FALSE
"37F2",2.50000000004999,54.25000000005,-40.5623611111111,40.5623611111111,6,86,80,315.761979933691,45.761979933691,0.00171685550853286,-37,83.4861111111111,28800,28800,24044,4.25000000005002,FALSE,FALSE
"37F3",3.50000000029982,54.25000000005,-41.8711458333333,41.8711458333333,28,52,24,237.764945290303,327.764945290303,0.00269040131379112,-43,100,28800,28800,28800,4.25000000005002,FALSE,FALSE
"37F4",4.50000000009999,54.25000000005,-45.6185416666667,45.6185416666667,40,49,9,0,90,0,-47,100,28800,28800,28800,4.25000000005002,FALSE,FALSE
"37F5",5.49999999990013,54.25000000005,-39.4554513888889,39.4554513888889,31,45,14,0,90,0,-39,100,28800,28800,28800,4.25000000005002,FALSE,FALSE
"37F6",6.49999999970026,54.25000000005,-35.2893402777778,35.2893402777778,26,41,15,0,90,0,-36,100,28800,28800,28800,3.50000000029974,FALSE,FALSE
