stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change,abs_change_magnitude,change_tercile,change_class
45F0,decade3_minus_decade1,1985-1994,2005-2015,71347.9,8624.727272727272,-62723.17272727272,-87.9117293252818,62723.17272727272,3,large_change
45F1,decade3_minus_decade1,1985-1994,2005-2015,19133.9,3667.181818181818,-15466.718181818183,-80.83411213510148,15466.718181818183,3,large_change
45F2,decade3_minus_decade1,1985-1994,2005-2015,7513.5,1874.6363636363635,-5638.863636363636,-75.04975891879465,5638.863636363636,2,moderate
45F3,decade3_minus_decade1,1985-1994,2005-2015,9232.9,3396.6363636363635,-5836.263636363636,-63.21159805005616,5836.263636363636,2,moderate
45F4,decade3_minus_decade1,1985-1994,2005-2015,17116.7,7966.454545454546,-9150.245454545455,-53.45799981623476,9150.245454545455,2,moderate
45F5,decade3_minus_decade1,1985-1994,2005-2015,7130.1,3463.5454545454545,-3666.554545454546,-51.42360619703154,3666.554545454546,2,moderate
45F6,decade3_minus_decade1,1985-1994,2005-2015,286,150.63636363636363,-135.36363636363637,-47.329942784488246,135.36363636363637,1,stable
46E6,decade3_minus_decade1,1985-1994,2005-2015,44.3,848.9090909090909,804.6090909090909,1816.273342909912,804.6090909090909,1,stable
46E7,decade3_minus_decade1,1985-1994,2005-2015,2677.1,263.3636363636364,-2413.7363636363634,-90.16235342857433,2413.7363636363634,1,stable
46E8,decade3_minus_decade1,1985-1994,2005-2015,7738.7,2415.909090909091,-5322.790909090909,-68.78146082792857,5322.790909090909,2,moderate
46E9,decade3_minus_decade1,1985-1994,2005-2015,15879.3,4534.363636363636,-11344.936363636363,-71.44481408901125,11344.936363636363,3,large_change
46F0,decade3_minus_decade1,1985-1994,2005-2015,32325.4,7266.363636363636,-25059.036363636365,-77.52119498486134,25059.036363636365,3,large_change
46F1,decade3_minus_decade1,1985-1994,2005-2015,6283,2022.6363636363635,-4260.363636363636,-67.8077930345955,4260.363636363636,2,moderate
46F2,decade3_minus_decade1,1985-1994,2005-2015,2492,1131.7272727272727,-1360.2727272727273,-54.58558295636948,1360.2727272727273,1,stable
46F3,decade3_minus_decade1,1985-1994,2005-2015,13819.6,6398.363636363636,-7421.236363636364,-53.70080439112829,7421.236363636364,2,moderate
46F4,decade3_minus_decade1,1985-1994,2005-2015,1151.3,472.3636363636364,-678.9363636363636,-58.97128147627583,678.9363636363636,1,stable
46F5,decade3_minus_decade1,1985-1994,2005-2015,286.7,159.1818181818182,-127.5181818181818,-44.477914830199445,127.5181818181818,1,stable
46F6,decade3_minus_decade1,1985-1994,2005-2015,8,2,-6,-75,6,1,stable
47E6,decade3_minus_decade1,1985-1994,2005-2015,925,2041.090909090909,1116.090909090909,120.65847665847664,1116.090909090909,1,stable
47E7,decade3_minus_decade1,1985-1994,2005-2015,2653.5,138.66666666666669,-2514.8333333333335,-94.77419760065322,2514.8333333333335,1,stable
47E8,decade3_minus_decade1,1985-1994,2005-2015,4218.8,954,-3264.8,-77.38693467336682,3264.8,1,stable
47E9,decade3_minus_decade1,1985-1994,2005-2015,11672.5,3082.5454545454545,-8589.954545454546,-73.59138612511926,8589.954545454546,2,moderate
47F0,decade3_minus_decade1,1985-1994,2005-2015,13649.1,3481.6363636363635,-10167.463636363636,-74.49182463579017,10167.463636363636,2,moderate
47F1,decade3_minus_decade1,1985-1994,2005-2015,4298.1,1552.6363636363635,-2745.463636363637,-63.876215917815706,2745.463636363637,1,stable
47F2,decade3_minus_decade1,1985-1994,2005-2015,5363.7,1978.7272727272727,-3384.972727272727,-63.10891226714259,3384.972727272727,2,moderate
47F3,decade3_minus_decade1,1985-1994,2005-2015,12673.9,5963.454545454545,-6710.445454545455,-52.94696545298175,6710.445454545455,2,moderate
47F4,decade3_minus_decade1,1985-1994,2005-2015,158.2,127.72727272727273,-30.472727272727255,-19.262153775428104,30.472727272727255,1,stable
47F5,decade3_minus_decade1,1985-1994,2005-2015,131.4,58.25,-73.15,-55.66971080669711,73.15,1,stable
48E6,decade3_minus_decade1,1985-1994,2005-2015,1798.5,1347.7272727272727,-450.77272727272725,-25.063815806101044,450.77272727272725,1,stable
48E7,decade3_minus_decade1,1985-1994,2005-2015,2043.9,350.81818181818187,-1693.081818181818,-82.83584413042801,1693.081818181818,1,stable
48E8,decade3_minus_decade1,1985-1994,2005-2015,11322.3,1107.7272727272725,-10214.572727272727,-90.21641121744457,10214.572727272727,2,moderate
48E9,decade3_minus_decade1,1985-1994,2005-2015,5807.7,1830.8181818181818,-3976.881818181818,-68.47602007992523,3976.881818181818,2,moderate
48F0,decade3_minus_decade1,1985-1994,2005-2015,6371.5,3052.7272727272725,-3318.7727272727275,-52.08777724668803,3318.7727272727275,1,stable
48F1,decade3_minus_decade1,1985-1994,2005-2015,2120.3,1053.8181818181818,-1066.4818181818184,-50.298628410216395,1066.4818181818184,1,stable
48F2,decade3_minus_decade1,1985-1994,2005-2015,2737.3,777.1818181818182,-1960.118181818182,-71.60772227443765,1960.118181818182,1,stable
48F3,decade3_minus_decade1,1985-1994,2005-2015,11009.8,4980.727272727273,-6029.072727272726,-54.76096502454837,6029.072727272726,2,moderate
48F4,decade3_minus_decade1,1985-1994,2005-2015,171.3,731.4,560.0999999999999,326.970227670753,560.0999999999999,1,stable
48F5,decade3_minus_decade1,1985-1994,2005-2015,93.1,60,-33.099999999999994,-35.5531686358754,33.099999999999994,1,stable
49E6,decade3_minus_decade1,1985-1994,2005-2015,4413.3,2437.909090909091,-1975.3909090909092,-44.75995080984544,1975.3909090909092,1,stable
49E7,decade3_minus_decade1,1985-1994,2005-2015,2184.3,1664.6363636363635,-519.6636363636367,-23.790854569593765,519.6636363636367,1,stable
49E8,decade3_minus_decade1,1985-1994,2005-2015,241.8,1482.909090909091,1241.109090909091,513.2791939243552,1241.109090909091,1,stable
49E9,decade3_minus_decade1,1985-1994,2005-2015,10127.8,2464,-7663.799999999999,-75.67092557120006,7663.799999999999,2,moderate
