stat_rec,n_hauls,mean_abs_residual,mean_annual_hours_total,cooks_distance,leverage,flagged_cooks
41E9,68,1.1012048549077904,1729.451612903226,0.011915753571173785,0.012731096338614413,FALSE
47F2,60,1.5794210383229113,3984.58064516129,0.011525135871803961,0.010717466470668928,FALSE
47F1,66,1.5714742326443176,2933.0322580645166,0.011450526568761334,0.011609233411986851,FALSE
37F2,68,1.407388887944018,35884.54838709677,0.011042013605608504,0.022843233584224104,FALSE
48E9,61,1.5716752986064044,3773.032258064517,0.010950361406945266,0.010890247085304889,FALSE
42E7,48,1.039318074217566,7922.838709677421,0.010692396035803155,0.00811005972353944,FALSE
42E8,62,1.1030816992516101,2992.266666666666,0.01030378700957775,0.011556808779478478,FALSE
49F0,58,1.6032168166619318,13702.709677419358,0.009803293125183098,0.006376926554445734,FALSE
41F3,63,1.0926761426427165,5224.064516129033,0.009011290159196205,0.009772161882442261,FALSE
37F4,90,1.4859789620218722,26115.90322580645,0.008996806094809354,0.011072038726912032,FALSE
49F1,61,1.5613117488341548,6364.16129032258,0.00877731699578058,0.009003773066569243,FALSE
45E8,69,1.5699646695633267,16788.064516129034,0.008378789054947829,0.006471240289318852,FALSE
43F3,67,1.1197058917633835,3922.096774193548,0.008042691703160692,0.010768152563805136,FALSE
40F3,77,1.0934829861956692,6627.903225806451,0.007814101737472143,0.008839819434659193,FALSE
36F7,78,1.3440446454604094,40873.032258064515,0.007639054382890719,0.031598151364270945,FALSE
44E6,61,1.5227937868808246,20294.709677419352,0.007206376284623737,0.007440004974468445,FALSE
42F6,77,1.0549512895207611,22363.483870967742,0.007162155326284555,0.008441441792050919,FALSE
48E7,31,1.15039551252448,2137.2903225806454,0.007103549367225676,0.012338851992019527,FALSE
49E9,45,1.5409013308540416,7107.322580645163,0.007101501391232276,0.008555070693531142,FALSE
39F2,78,1.100236371661452,8257.258064516129,0.006334965360647076,0.007941907072697658,FALSE
47F0,65,1.5329428733590025,8943.096774193551,0.006149330614768367,0.007623134282023398,FALSE
39E8,59,1.124645281417797,43329.4193548387,0.006108616783184172,0.03659078563910284,FALSE
42E9,65,1.1684119098980137,1818.1935483870968,0.005984933542179526,0.012644692150641833,FALSE
35F2,65,1.062688830147348,18517.225806451614,0.005925173214202788,0.006834390035406629,FALSE
